geoid,name,B19013001,"B19013001, Error"
14000US36005025000,"Census Tract 250, Bronx, NY",82941,25574
14000US36005025100,"Census Tract 251, Bronx, NY",46728,7735
14000US36005025200,"Census Tract 252, Bronx, NY",71042,17495
14000US36005025300,"Census Tract 253, Bronx, NY",40479,12859
14000US36005025400,"Census Tract 254, Bronx, NY",75368,29597
14000US36005025500,"Census Tract 255, Bronx, NY",42218,19131
14000US36005025600,"Census Tract 256, Bronx, NY",50980,15256
14000US36005025700,"Census Tract 257, Bronx, NY",39784,24190
14000US36005026100,"Census Tract 261, Bronx, NY",54648,20583
14000US36005026300,"Census Tract 263, Bronx, NY",32379,16350
14000US36005026400,"Census Tract 264, Bronx, NY",61014,19993
14000US36005026500,"Census Tract 265, Bronx, NY",53177,10133
14000US36005026601,"Census Tract 266.01, Bronx, NY",52619,15266
14000US36005026602,"Census Tract 266.02, Bronx, NY",41528,15151
14000US36005026701,"Census Tract 267.01, Bronx, NY",46123,7633
14000US36005026702,"Census Tract 267.02, Bronx, NY",46098,18149
14000US36005026900,"Census Tract 269, Bronx, NY",27670,14805
14000US36005027300,"Census Tract 273, Bronx, NY",48459,13824
14000US36005027401,"Census Tract 274.01, Bronx, NY",82273,41456
14000US36005027402,"Census Tract 274.02, Bronx, NY",94333,19672
14000US36005027600,"Census Tract 276, Bronx, NY",,
14000US36005027700,"Census Tract 277, Bronx, NY",31500,12791
14000US36005027900,"Census Tract 279, Bronx, NY",55406,10656
14000US36005028100,"Census Tract 281, Bronx, NY",56667,15589
14000US36005028300,"Census Tract 283, Bronx, NY",22971,21881
14000US36005028400,"Census Tract 284, Bronx, NY",,
14000US36005028500,"Census Tract 285, Bronx, NY",65625,14110
14000US36005028600,"Census Tract 286, Bronx, NY",84286,17507
14000US36005028700,"Census Tract 287, Bronx, NY",70319,25658
14000US36005028800,"Census Tract 288, Bronx, NY",80682,4745
14000US36005028900,"Census Tract 289, Bronx, NY",49284,5945
14000US36005029301,"Census Tract 293.01, Bronx, NY",133750,40293
14000US36005029302,"Census Tract 293.02, Bronx, NY",116413,14092
14000US36005029500,"Census Tract 295, Bronx, NY",94543,12673
14000US36005029600,"Census Tract 296, Bronx, NY",51932,10326
14000US36005029700,"Census Tract 297, Bronx, NY",104318,27070
14000US36005030000,"Census Tract 300, Bronx, NY",72568,12968
14000US36005030100,"Census Tract 301, Bronx, NY",82554,14550
14000US36005030201,"Census Tract 302.01, Bronx, NY",60773,8634
14000US36005030202,"Census Tract 302.02, Bronx, NY",67500,13342
14000US36005030701,"Census Tract 307.01, Bronx, NY",128919,16789
14000US36005030900,"Census Tract 309, Bronx, NY",108470,35098
14000US36005031000,"Census Tract 310, Bronx, NY",111106,23173
14000US36005031200,"Census Tract 312, Bronx, NY",102188,17006
14000US36005031400,"Census Tract 314, Bronx, NY",95486,22241
14000US36005031600,"Census Tract 316, Bronx, NY",90294,21239
14000US36005031800,"Census Tract 318, Bronx, NY",118250,55905
14000US36005031900,"Census Tract 319, Bronx, NY",,
14000US36005032300,"Census Tract 323, Bronx, NY",88026,17430
14000US36005032400,"Census Tract 324, Bronx, NY",23741,9767
14000US36005032600,"Census Tract 326, Bronx, NY",95071,6670
14000US36005032800,"Census Tract 328, Bronx, NY",44680,14300
14000US36005033000,"Census Tract 330, Bronx, NY",39018,11627
14000US36005033201,"Census Tract 332.01, Bronx, NY",37255,19769
14000US36005033202,"Census Tract 332.02, Bronx, NY",44812,9800
14000US36005033400,"Census Tract 334, Bronx, NY",,
14000US36005033500,"Census Tract 335, Bronx, NY",99659,44905
14000US36005033601,"Census Tract 336.01, Bronx, NY",30533,14921
14000US36005033602,"Census Tract 336.02, Bronx, NY",41950,23444
14000US36005033700,"Census Tract 337, Bronx, NY",114151,17865
14000US36005033801,"Census Tract 338.01, Bronx, NY",63978,5289
14000US36005033802,"Census Tract 338.02, Bronx, NY",39487,19047
14000US36005034000,"Census Tract 340, Bronx, NY",57782,13027
14000US36005034200,"Census Tract 342, Bronx, NY",64113,14852
14000US36005034300,"Census Tract 343, Bronx, NY",83991,16557
14000US36005034400,"Census Tract 344, Bronx, NY",79779,21859
14000US36005034500,"Census Tract 345, Bronx, NY",109167,27613
14000US36005034800,"Census Tract 348, Bronx, NY",42537,9407
14000US36005035000,"Census Tract 350, Bronx, NY",64172,16262
14000US36005035100,"Census Tract 351, Bronx, NY",96131,20727
14000US36005035600,"Census Tract 356, Bronx, NY",78803,20455
14000US36005035800,"Census Tract 358, Bronx, NY",80727,11913
14000US36005035900,"Census Tract 359, Bronx, NY",26442,8497
14000US36005036000,"Census Tract 360, Bronx, NY",83438,15075
14000US36005036100,"Census Tract 361, Bronx, NY",20435,6495
14000US36005036300,"Census Tract 363, Bronx, NY",27374,11461
14000US36005036400,"Census Tract 364, Bronx, NY",55208,25800
14000US36005036501,"Census Tract 365.01, Bronx, NY",36535,6633
14000US36005036502,"Census Tract 365.02, Bronx, NY",28566,4517
14000US36005036700,"Census Tract 367, Bronx, NY",,
14000US36005036800,"Census Tract 368, Bronx, NY",42460,23585
14000US36005036901,"Census Tract 369.01, Bronx, NY",23854,12184
14000US36005036902,"Census Tract 369.02, Bronx, NY",15625,7186
14000US36005037000,"Census Tract 370, Bronx, NY",76065,7845
14000US36005037100,"Census Tract 371, Bronx, NY",24683,17249
14000US36005037200,"Census Tract 372, Bronx, NY",51705,22477
14000US36005037300,"Census Tract 373, Bronx, NY",47650,32166
14000US36005037400,"Census Tract 374, Bronx, NY",35232,7978
14000US36005037504,"Census Tract 375.04, Bronx, NY",25417,5896
14000US36005037600,"Census Tract 376, Bronx, NY",55000,16388
14000US36005037800,"Census Tract 378, Bronx, NY",46136,20489
14000US36005037900,"Census Tract 379, Bronx, NY",32269,8396
14000US36005038000,"Census Tract 380, Bronx, NY",39856,9942
14000US36005038100,"Census Tract 381, Bronx, NY",38937,11948
14000US36005038200,"Census Tract 382, Bronx, NY",54844,24436
14000US36005038301,"Census Tract 383.01, Bronx, NY",48964,5892
14000US36005038303,"Census Tract 383.03, Bronx, NY",20436,7503
14000US36005038304,"Census Tract 383.04, Bronx, NY",16208,14158
14000US36005038500,"Census Tract 385, Bronx, NY",21875,5960
14000US36005038600,"Census Tract 386, Bronx, NY",58382,18900
14000US36005038700,"Census Tract 387, Bronx, NY",39080,7403
14000US36005038800,"Census Tract 388, Bronx, NY",64094,18874
14000US36005038900,"Census Tract 389, Bronx, NY",37260,11980
14000US36005039000,"Census Tract 390, Bronx, NY",52386,12293
14000US36005039100,"Census Tract 391, Bronx, NY",29154,8830
14000US36005039200,"Census Tract 392, Bronx, NY",54451,5948
14000US36005039300,"Census Tract 393, Bronx, NY",22569,10441
14000US36005039400,"Census Tract 394, Bronx, NY",50667,20679
14000US36005039500,"Census Tract 395, Bronx, NY",25211,15410
14000US36005039600,"Census Tract 396, Bronx, NY",38923,5035
14000US36005039700,"Census Tract 397, Bronx, NY",28125,14891
14000US36005039800,"Census Tract 398, Bronx, NY",55433,15976
14000US36005039901,"Census Tract 399.01, Bronx, NY",36338,4059
14000US36005039902,"Census Tract 399.02, Bronx, NY",46174,8788
