geoid,count,name,median_household_income,"B19013001, Error",COUNTY,CTLabel,TRACT,_merge
36005003500,1.0,"Census Tract 35, Bronx, NY",30793.0,2860.0,5.0,35.0,3500.0,both
36005004300,1.0,"Census Tract 43, Bronx, NY",25534.0,7655.0,5.0,43.0,4300.0,both
36005006301,1.0,"Census Tract 63.01, Bronx, NY",50273.0,9427.0,5.0,63.01,6301.0,both
36005006500,1.0,"Census Tract 65, Bronx, NY",21962.0,5408.0,5.0,65.0,6500.0,both
36005012901,1.0,"Census Tract 129.01, Bronx, NY",34329.0,8410.0,5.0,129.01,12901.0,both
36005015300,1.0,"Census Tract 153, Bronx, NY",32060.0,20109.0,5.0,153.0,15300.0,both
36005020900,1.0,"Census Tract 209, Bronx, NY",39489.0,13881.0,5.0,209.0,20900.0,both
36047004500,1.0,"Census Tract 45, Kings, NY",152157.0,5366.0,47.0,45.0,4500.0,both
36005023703,1.0,"Census Tract 237.03, Bronx, NY",19179.0,10681.0,5.0,237.03,23703.0,both
36005037300,1.0,"Census Tract 373, Bronx, NY",47650.0,32166.0,5.0,373.0,37300.0,both
36005038900,1.0,"Census Tract 389, Bronx, NY",37260.0,11980.0,5.0,389.0,38900.0,both
36047000100,1.0,"Census Tract 1, Kings, NY",134738.0,47227.0,47.0,1.0,100.0,both
36047000700,1.0,"Census Tract 7, Kings, NY",186422.0,35452.0,47.0,7.0,700.0,both
36047000900,1.0,"Census Tract 9, Kings, NY",198590.0,54280.0,47.0,9.0,900.0,both
36047001300,1.0,"Census Tract 13, Kings, NY",125673.0,18087.0,47.0,13.0,1300.0,both
36047019100,1.0,"Census Tract 191, Kings, NY",134583.0,34463.0,47.0,191.0,19100.0,both
36047023100,1.0,"Census Tract 231, Kings, NY",140888.0,41463.0,47.0,231.0,23100.0,both
36047024400,1.0,"Census Tract 244, Kings, NY",62885.0,25140.0,47.0,244.0,24400.0,both
36061005200,1.0,"Census Tract 52, New York, NY",165972.0,38565.0,61.0,52.0,5200.0,both
36061000202,1.0,"Census Tract 2.02, New York, NY",31806.0,7207.0,61.0,2.02,202.0,both
36061002601,1.0,"Census Tract 26.01, New York, NY",32727.0,21998.0,61.0,26.01,2601.0,both
36061002800,1.0,"Census Tract 28, New York, NY",52448.0,12713.0,61.0,28.0,2800.0,both
36061002902,1.0,"Census Tract 29.02, New York, NY",28615.0,15876.0,61.0,29.02,2902.0,both
36005001901,1.0,"Census Tract 19.01, Bronx, NY",55924.0,12028.0,5.0,19.01,1901.0,both
36061003300,1.0,"Census Tract 33, New York, NY",250001.0,,61.0,33.0,3300.0,both
36061004500,1.0,"Census Tract 45, New York, NY",145370.0,65051.0,61.0,45.0,4500.0,both
36061006400,1.0,"Census Tract 64, New York, NY",102312.0,11351.0,61.0,64.0,6400.0,both
36047028300,1.0,"Census Tract 283, Kings, NY",40559.0,13939.0,47.0,283.0,28300.0,both
36061006800,1.0,"Census Tract 68, New York, NY",136962.0,23709.0,61.0,68.0,6800.0,both
36061007500,1.0,"Census Tract 75, New York, NY",109250.0,17426.0,61.0,75.0,7500.0,both
36061007600,1.0,"Census Tract 76, New York, NY",131429.0,43899.0,61.0,76.0,7600.0,both
36061007700,1.0,"Census Tract 77, New York, NY",143750.0,24626.0,61.0,77.0,7700.0,both
36061008100,1.0,"Census Tract 81, New York, NY",144375.0,24960.0,61.0,81.0,8100.0,both
36061008300,1.0,"Census Tract 83, New York, NY",56197.0,34272.0,61.0,83.0,8300.0,both
36061008400,1.0,"Census Tract 84, New York, NY",200521.0,99983.0,61.0,84.0,8400.0,both
36047115200,1.0,"Census Tract 1152, Kings, NY",48894.0,11976.0,47.0,1152.0,115200.0,both
36047091000,1.0,"Census Tract 910, Kings, NY",14446.0,4813.0,47.0,910.0,91000.0,both
36047076800,1.0,"Census Tract 768, Kings, NY",58663.0,28348.0,47.0,768.0,76800.0,both
36047070000,1.0,"Census Tract 700, Kings, NY",84034.0,6734.0,47.0,700.0,70000.0,both
36047029800,1.0,"Census Tract 298, Kings, NY",59242.0,13106.0,47.0,298.0,29800.0,both
36047030500,1.0,"Census Tract 305, Kings, NY",112854.0,19704.0,47.0,305.0,30500.0,both
36047034100,1.0,"Census Tract 341, Kings, NY",66357.0,41032.0,47.0,341.0,34100.0,both
36047038500,1.0,"Census Tract 385, Kings, NY",83079.0,18107.0,47.0,385.0,38500.0,both
36047043100,1.0,"Census Tract 431, Kings, NY",77633.0,16081.0,47.0,431.0,43100.0,both
36047043700,1.0,"Census Tract 437, Kings, NY",60667.0,28135.0,47.0,437.0,43700.0,both
36047044901,1.0,"Census Tract 449.01, Kings, NY",52716.0,9389.0,47.0,449.01,44901.0,both
36047044902,1.0,,,,,,,left_only
36047045300,1.0,"Census Tract 453, Kings, NY",57143.0,16847.0,47.0,453.0,45300.0,both
36047049800,1.0,"Census Tract 498, Kings, NY",67580.0,32345.0,47.0,498.0,49800.0,both
36047050401,1.0,"Census Tract 504.01, Kings, NY",128443.0,38425.0,47.0,504.01,50401.0,both
36047051800,1.0,"Census Tract 518, Kings, NY",84748.0,10040.0,47.0,518.0,51800.0,both
36047052900,1.0,"Census Tract 529, Kings, NY",27456.0,17326.0,47.0,529.0,52900.0,both
36047055200,1.0,"Census Tract 552, Kings, NY",81250.0,29919.0,47.0,552.0,55200.0,both
