wkt_geom,MEAN_X,MEAN_Y,object_id,lat,lon,GEOID,STATE,COUNTY,TRACT,BLOCK
Point (983618.66332422196865082 203313.11261643469333649),983618.6633242221,203313.1126164347,236.0,40.72472,-74.0022775,360610049002003,36,061,004900,2003
Point (983639.37916205078363419 197426.75513064116239548),983639.3791620508,197426.75513064122,41.0,40.70857,-74.0022023,360610015013003,36,061,001501,3003
Point (983660.50597894692327827 187146.48063436150550842),983660.5059789469,187146.48063436148,513.0,40.68035,-74.0021252,360470063002003,36,047,006300,2003
Point (983661.48295643180608749 209920.27738764137029648),983661.4829564319,209920.27738764137,164.0,40.74286,-74.00212359999999,360610089002001,36,061,008900,2001
Point (983666.95899534225463867 206594.52411461994051933),983666.9589953424,206594.52411461988,474.0,40.73373,-74.0021035,360610073006004,36,061,007300,6004
Point (983680.1049664244055748 205768.55767273157835007),983680.1049664244,205768.5576727316,155.0,40.73146,-74.00205600000001,360610067001001,36,061,006700,1001
Point (983796.82897838950157166 207180.58929747343063354),983796.8289783895,207180.58929747343,239.0,40.73534,-74.001635,360610071004002,36,061,007100,4002
Point (983838.98604629933834076 206988.99174759536981583),983838.9860462992,206988.99174759534,158.0,40.734809999999996,-74.00148279999999,360610073006003,36,061,007300,6003
Point (983841.00113413482904434 187633.22025580704212189),983841.0011341348,187633.22025580704,22.0,40.68169,-74.0014745,360470063002001,36,047,006300,2001
Point (983890.21297796815633774 206754.95989938825368881),983890.2129779682,206754.95989938825,159.0,40.73417,-74.00129799999999,360610071004004,36,061,007100,4004
Point (984197.64444972574710846 214818.82287268340587616),984197.644449726,214818.8228726834,471.0,40.7563,-74.0001887,360610099032016,36,061,009903,2016
Point (984287.51697339117527008 205506.89185747504234314),984287.5169733913,205506.89185747504,161.0,40.73075,-73.9998644,360610065001006,36,061,006500,1006
Point (984330.12318738549947739 214745.67226438969373703),984330.1231873856,214745.6722643897,470.0,40.7561,-73.99971049999999,360610099032016,36,061,009903,2016
Point (984428.06787338852882385 205724.6586463525891304),984428.0678733884,205724.65864635262,241.0,40.73134,-73.9993573,360610065001003,36,061,006500,1003
Point (984528.8899158388376236 192064.44531722663668916),984528.8899158387,192064.44531722664,482.0,40.69385,-73.9989941,360470003014003,36,047,000301,4003
Point (984565.44128630310297012 205938.1898793950676918),984565.4412863031,205938.18987939507,163.0,40.73193,-73.9988616,360610065001000,36,061,006500,1000
Point (984680.59853630512952805 206117.64162022620439529),984680.5985363051,206117.6416202262,242.0,40.73242,-73.9984461,360610063005001,36,061,006300,5001
Point (984710.09191563725471497 205233.40930076688528061),984710.0919156371,205233.40930076689,162.0,40.72999,-73.9983397,360610065001002,36,061,006500,1002
Point (984752.62119409441947937 203210.26210034638643265),984752.6211940944,203210.26210034642,159.99999999999997,40.72444,-73.99818640000001,360610049001003,36,061,004900,1003
Point (984767.2797933891415596 206250.72550760209560394),984767.2797933893,206250.7255076021,243.0,40.73279,-73.99813329999999,360610063005001,36,061,006300,5001
Point (984815.17405455559492111 191999.65082739293575287),984815.1740545556,191999.65082739294,75.0,40.693670000000004,-73.9979618,360470003014003,36,047,000301,4003
Point (984845.8731036881217733 199525.07854408025741577),984845.873103688,199525.07854408032,478.0,40.71433,-73.9978504,360610029022004,36,061,002902,2004
Point (984958.68032921850681305 202301.19534893333911896),984958.6803292184,202301.1953489333,240.0,40.72195,-73.9974431,360610045001001,36,061,004500,1001
Point (984999.64809504896402359 208620.51620764285326004),984999.6480950491,208620.51620764282,170.0,40.739290000000004,-73.9972946,360610081001001,36,061,008100,1001
Point (985036.35143372416496277 191947.43620084971189499),985036.3514337242,191947.43620084968,74.0,40.693529999999996,-73.9971642,360470003014003,36,047,000301,4003
Point (985270.18741618096828461 205184.99929260462522507),985270.187416181,205184.99929260465,244.0,40.729859999999995,-73.9963189,360610065001001,36,061,006500,1001
Point (985284.67951317876577377 190114.14934906363487244),985284.6795131788,190114.14934906363,42.0,40.6885,-73.996269,360470045002001,36,047,004500,2001
Point (985410.09871771931648254 205396.86074551939964294),985410.0987177192,205396.8607455194,245.0,40.73044,-73.995814,360610065001001,36,061,006500,1001
Point (985540.97772105038166046 205588.80573564022779465),985540.9777210505,205588.80573564023,246.0,40.73097,-73.99534179999999,360610059002001,36,061,005900,2001
Point (985612.00628634542226791 202128.41354227066040039),985612.0062863454,202128.41354227066,165.0,40.721470000000004,-73.9950862,360610043002001,36,061,004300,2001
Point (985648.21503938734531403 205749.23192397505044937),985648.2150393872,205749.23192397505,167.0,40.73141,-73.9949548,360610059002000,36,061,005900,2000
Point (985762.02058605849742889 205923.56244801729917526),985762.0205860584,205923.5624480173,247.0,40.73189,-73.9945441,360610059001001,36,061,005900,1001
Point (985793.77921676635742188 202329.32685435563325882),985793.7792167664,202329.32685435566,166.0,40.72202,-73.9944304,360610043002001,36,061,004300,2001
Point (985897.07937105745077133 206130.3074413537979126),985897.0793710577,206130.3074413538,168.0,40.732459999999996,-73.9940568,360610059001000,36,061,005900,1000
Point (985927.16018359363079071 191501.02026297897100449),985927.1601835936,191501.02026297894,76.0,40.6923,-73.99395200000001,360470007003000,36,047,000700,3000
