geoid,count,name,median_household_income,"B19013001, Error",COUNTY,CTLabel,TRACT,_merge,has_open_streets,prediction_logodds,prediction_odds,prediction_pct
36081028300,4,"Census Tract 283, Queens, NY",7.1484,6405.0,81.0,283.0,28300.0,both,1,-3.154006490289154,0.042680783708427796,0.040933701258623105
36047013600,3,"Census Tract 136, Kings, NY",12.1125,19077.0,47.0,136.0,13600.0,both,1,-1.6731079072788406,0.1876629194195642,0.15801025387849862
36047051900,3,"Census Tract 519, Kings, NY",18.8567,3332.0,47.0,519.0,51900.0,both,1,-0.9984128297441723,0.36846379208772645,0.26925359239910807
36047054900,3,"Census Tract 549, Kings, NY",12.2717,34109.0,47.0,549.0,54900.0,both,1,-1.657181413944788,0.1906756591621445,0.16014072152639725
36047013800,3,"Census Tract 138, Kings, NY",7.9482,13878.0,47.0,138.0,13800.0,both,1,-2.0897077577247973,0.12372328770973774,0.11010120468527297
36047000301,3,"Census Tract 3.01, Kings, NY",17.9936,101166.0,47.0,3.01,301.0,both,1,-1.0847580332405353,0.3379835567873833,0.25260665953093747
36081103202,3,"Census Tract 1032.02, Queens, NY",7.2279,21338.0,81.0,1032.02,103202.0,both,1,-3.146053247700855,0.04302158778744225,0.041247073206513184
36061004300,3,"Census Tract 43, New York, NY",10.2763,39651.0,61.0,43.0,4300.0,both,1,-1.0238573166974665,0.35920669047000775,0.26427672331850843
36061004800,3,"Census Tract 48, New York, NY",16.462,11913.0,61.0,48.0,4800.0,both,1,-0.4050350188554397,0.6669534545029121,0.40010322585869595
36061013100,3,"Census Tract 131, New York, NY",9.724,25909.0,61.0,131.0,13100.0,both,1,-1.0791098435090078,0.3398979533904445,0.25367450747303194
36061004900,3,"Census Tract 49, New York, NY",11.9821,27470.0,61.0,49.0,4900.0,both,1,-0.853207741765134,0.4260460918370063,0.2987603937038119
36061005502,3,"Census Tract 55.02, New York, NY",12.925,32967.0,61.0,55.02,5502.0,both,1,-0.7588792834442892,0.4681908423227819,0.31888963534336645
36085002100,3,"Census Tract 21, Richmond, NY",6.15,21222.0,85.0,21.0,2100.0,both,1,-3.4501864228367785,0.031739718818080305,0.03076330031613017
36061006700,3,"Census Tract 67, New York, NY",11.3685,21795.0,61.0,67.0,6700.0,both,1,-0.914592768836584,0.4006797621572198,0.28606093482790346
36061015302,3,"Census Tract 153.02, New York, NY",12.7339,41388.0,61.0,153.02,15302.0,both,1,-0.7779970778923895,0.4593250829467299,0.3147517220900785
36061014402,3,"Census Tract 144.02, New York, NY",13.5301,23921.0,61.0,144.02,14402.0,both,1,-0.6983446030646703,0.4974080303630791,0.33217935277298577
36061007900,3,"Census Tract 79, New York, NY",10.4246,19912.0,61.0,79.0,7900.0,both,1,-1.0090212679447026,0.3645756268645769,0.26717143387814446
36061014200,3,"Census Tract 142, New York, NY",21.1951,89044.0,61.0,142.0,14200.0,both,1,0.06846803139208246,1.0708663902960016,0.5171103241203969
36061024301,3,"Census Tract 243.01, New York, NY",7.125,14412.0,61.0,243.01,24301.0,both,1,-1.339115849634657,0.262077281899277,0.20765549436472044
36047089800,3,"Census Tract 898, Kings, NY",5.6054,13614.0,47.0,898.0,89800.0,both,1,-2.324083314150796,0.09787312184770204,0.08914793513023
36047013300,3,"Census Tract 133, Kings, NY",20.5556,33982.0,47.0,133.0,13300.0,both,1,-0.828453536244032,0.4367241424244034,0.3039721610631894
36047020500,3,"Census Tract 205, Kings, NY",12.8281,28662.0,47.0,205.0,20500.0,both,1,-1.6015187199054224,0.20159012645429833,0.1677694598316639
