wkt_geom	MEAN_X	MEAN_Y	object_id	lat	lon
Point (983418.72770047187805176 203440.61400184780359268)	983418.7277004719	203440.6140018478	154	40.72507	-74.0029989
Point (983534.36936551332473755 197199.1086043119430542)	983534.3693655133	197199.10860431194	464	40.70794	-74.002581
Point (983562.08699379861354828 205978.22260772436857224)	983562.0869937986	205978.22260772437	157	40.73204	-74.0024819
Point (983597.2366938441991806 204433.52868268638849258)	983597.2366938442	204433.5286826864	453	40.7278	-74.0023549
Point (983618.66332422196865082 203313.11261643469333649)	983618.663324222	203313.1126164347	236	40.72472	-74.0022775
Point (983639.37916205078363419 197426.75513064116239548)	983639.3791620507	197426.75513064116	41	40.70857	-74.0022023
Point (983660.50597894692327827 187146.48063436150550842)	983660.5059789469	187146.4806343615	513	40.68035	-74.0021252
Point (983661.48295643180608749 209920.27738764137029648)	983661.4829564318	209920.27738764137	164	40.74286	-74.0021236
Point (983666.95899534225463867 206594.52411461994051933)	983666.9589953423	206594.5241146199	474	40.73373	-74.0021035
Point (983680.1049664244055748 205768.55767273157835007)	983680.1049664244	205768.55767273158	155	40.73146	-74.002056
Point (983796.82897838950157166 207180.58929747343063354)	983796.8289783895	207180.58929747343	239	40.73534	-74.001635
Point (983838.98604629933834076 206988.99174759536981583)	983838.9860462993	206988.99174759537	158	40.73481	-74.0014828
Point (983841.00113413482904434 187633.22025580704212189)	983841.0011341348	187633.22025580704	22	40.68169	-74.0014745
Point (983890.21297796815633774 206754.95989938825368881)	983890.2129779682	206754.95989938825	159	40.73417	-74.001298
Point (984197.64444972574710846 214818.82287268340587616)	984197.6444497259	214818.8228726834	471	40.7563	-74.0001887
Point (984287.51697339117527008 205506.89185747504234314)	984287.5169733912	205506.89185747504	161	40.73075	-73.9998644
Point (984330.12318738549947739 214745.67226438969373703)	984330.1231873855	214745.6722643897	470	40.7561	-73.9997105
Point (984428.06787338852882385 205724.6586463525891304)	984428.0678733885	205724.6586463526	241	40.73134	-73.9993573
Point (984528.8899158388376236 192064.44531722663668916)	984528.8899158388	192064.44531722664	482	40.69385	-73.9989941
Point (984565.44128630310297012 205938.1898793950676918)	984565.4412863031	205938.18987939507	163	40.73193	-73.9988616
Point (984680.59853630512952805 206117.64162022620439529)	984680.5985363051	206117.6416202262	242	40.73242	-73.9984461
Point (984710.09191563725471497 205233.40930076688528061)	984710.0919156373	205233.40930076689	162	40.72999	-73.9983397
Point (984752.62119409441947937 203210.26210034638643265)	984752.6211940944	203210.2621003464	159.99999999999997	40.72444	-73.9981864
Point (984767.2797933891415596 206250.72550760209560394)	984767.2797933891	206250.7255076021	243	40.73279	-73.9981333
Point (984815.17405455559492111 191999.65082739293575287)	984815.1740545556	191999.65082739294	75	40.69367	-73.9979618
Point (984845.8731036881217733 199525.07854408025741577)	984845.8731036881	199525.0785440803	478	40.71433	-73.9978504
Point (984958.68032921850681305 202301.19534893333911896)	984958.6803292185	202301.19534893334	240	40.72195	-73.9974431
Point (984999.64809504896402359 208620.51620764285326004)	984999.648095049	208620.51620764282	170	40.73929	-73.9972946
Point (985036.35143372416496277 191947.43620084971189499)	985036.3514337242	191947.4362008497	74	40.69353	-73.9971642
Point (985270.18741618096828461 205184.99929260462522507)	985270.187416181	205184.99929260463	244	40.72986	-73.9963189
Point (985284.67951317876577377 190114.14934906363487244)	985284.6795131788	190114.14934906363	42	40.6885	-73.996269
Point (985410.09871771931648254 205396.86074551939964294)	985410.0987177193	205396.8607455194	245	40.73044	-73.995814
Point (985540.97772105038166046 205588.80573564022779465)	985540.9777210504	205588.80573564023	246	40.73097	-73.9953418
Point (985612.00628634542226791 202128.41354227066040039)	985612.0062863454	202128.41354227066	165	40.72147	-73.9950862
Point (985648.21503938734531403 205749.23192397505044937)	985648.2150393873	205749.23192397505	167	40.73141	-73.9949548
Point (985762.02058605849742889 205923.56244801729917526)	985762.0205860585	205923.5624480173	247	40.73189	-73.9945441
Point (985793.77921676635742188 202329.32685435563325882)	985793.7792167664	202329.32685435566	166	40.72202	-73.9944304
Point (985897.07937105745077133 206130.3074413537979126)	985897.0793710575	206130.3074413538	168	40.73246	-73.9940568
Point (985927.16018359363079071 191501.02026297897100449)	985927.1601835936	191501.02026297897	76	40.6923	-73.993952
Point (985961.28199855238199234 202881.20419547706842422)	985961.2819985524	202881.20419547707	418	40.72354	-73.993826
Point (986001.85967329889535904 192072.27879893779754639)	986001.859673299	192072.2787989378	77	40.69387	-73.9936825
Point (986032.24314272403717041 206337.60541914403438568)	986032.243142724	206337.60541914403	169	40.73302	-73.993569
Point (986079.07703855633735657 203616.67204868793487549)	986079.0770385563	203616.67204868793	175	40.72556	-73.9934008
Point (986153.32246092706918716 203838.71950484812259674)	986153.3224609271	203838.71950484812	466	40.72617	-73.9931329
